system:index,B11,B11_B12,B11_B12_change,B11_B12_wet,B11_change,B11_wet,B12,B12_change,B12_wet,B2,B2_change,B2_wet,B3,B3_change,B3_wet,B4,B4_B3,B4_B3_change,B4_B3_wet,B4_change,B4_wet,B8,B8_B4,B8_B4_change,B8_B4_wet,B8_change,B8_wet,NDVI,NDVI_change,NDVI_wet,elevation,region_id,slope,.geo
00000000000000000064_0,0.2917,1.3417664,0.39680502,1.7385714,-0.048300013,0.2434,0.2174,-0.0774,0.14,0.11555,-0.009549998,0.106,0.1026,-0.007600002,0.095,0.1169,1.1393762,-0.20042883,0.9389474,-0.0277,0.0892,0.1553,1.328486,0.73541546,2.0639014,0.028799996,0.1841,0.14107278,0.20616472,0.3472375,651,1,0.92740995,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.1356788429733,14.473521110441112]}"
00000000000000000065_0,0.3322,1.4269758,0.08573598,1.5127119,-0.046599984,0.2856,0.2328,-0.044,0.1888,0.1205,-0.0167,0.1038,0.1157,-0.0163,0.0994,0.1345,1.1624892,-0.05081914,1.11167,-0.023999996,0.1105,0.2282,1.6966543,0.23728228,1.9339366,-0.014500007,0.2137,0.25834024,0.05998177,0.318322,677,1,0.9575573,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.07459340365318,14.416567921427935]}"
00000000000000000066_0,0.2544,1.6349616,0.25924265,1.8942043,-0.048500016,0.2059,0.1556,-0.046899997,0.1087,0.11835,-0.015749998,0.1026,0.1094,-0.010899998,0.0985,0.1083,0.9899452,-0.25695026,0.7329949,-0.0361,0.0722,0.27115,2.5036933,1.335642,3.8393354,0.0060500205,0.2772,0.4291738,0.15754631,0.5867201,635,1,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.17718100909963,14.47253296362858]}"
00000000000000000067_0,0.1785,1.5076014,0.39678568,1.904387,-0.009199992,0.1693,0.1184,-0.0295,0.0889,0.11235,-0.012050003,0.1003,0.09675,-0.008549996,0.0882,0.0953,0.9850129,-0.18569317,0.79931974,-0.024799995,0.0705,0.1546,1.6222456,1.1479671,2.7702127,0.040700004,0.1953,0.23729491,0.23223104,0.46952593,706,1,5.9933147,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.12112613537057,14.44764963025847]}"
00000000000000000068_0,0.2222,1.6095618,0.2018807,1.8114425,0.0025999993,0.2248,0.13805,-0.013950005,0.1241,0.12265,-0.02245,0.1002,0.1141,-0.021300003,0.0928,0.1073,0.9404031,-0.13113591,0.8092672,-0.0322,0.0751,0.27705,2.582013,0.7881603,3.3701732,-0.02394998,0.2531,0.44165474,0.10069752,0.54235226,680,1,2.086653,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.10091404147788,14.4080339262288]}"
00000000000000000069_0,0.33115,1.55433,0.04443545,1.5987655,-0.07214999,0.259,0.21305,-0.051049992,0.162,0.12585,-0.026450008,0.0994,0.126,-0.030500002,0.0955,0.14795,1.1742063,-0.28310677,0.8910995,-0.06284999,0.0851,0.2826,1.9101048,1.2438319,3.1539366,-0.014199972,0.2684,0.31273952,0.20578949,0.518529,690,1,5.99305,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.12202445065469,14.42321545453042]}"
0000000000000000006a_0,0.3528,1.3759751,0.4193597,1.7953348,-0.11420001,0.2386,0.2564,-0.12349999,0.1329,0.1264,-0.023699991,0.1027,0.123,-0.026600003,0.0964,0.1515,1.2317073,-0.35203928,0.879668,-0.066700004,0.0848,0.2182,1.440264,1.2378021,2.678066,0.008900002,0.2271,0.18041654,0.27581945,0.45623598,690,1,2.6642895,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.13558901144489,14.39788296351825]}"
0000000000000000006b_0,0.2828,1.3835616,0.29718292,1.6807445,-0.047999993,0.2348,0.2044,-0.06470001,0.1397,0.1296,-0.0198,0.1098,0.1223,-0.020499997,0.1018,0.1336,1.0923958,-0.17392813,0.9184676,-0.040099993,0.0935,0.2063,1.5441618,0.4954103,2.039572,-0.015600011,0.1907,0.21388645,0.12812617,0.34201264,634,1,0.92740995,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.17987595495198,14.481336453412952]}"
0000000000000000006c_0,0.2691,1.6171875,0.16638817,1.7835758,-0.060600013,0.2085,0.1664,-0.049500003,0.1169,0.1159,-0.016000003,0.0999,0.1095,-0.016199999,0.0933,0.1119,1.0219178,-0.047641348,0.9742765,-0.021000005,0.0909,0.23195,2.0728328,-0.09043458,1.9823983,-0.051750004,0.1802,0.3491348,-0.019736039,0.32939875,682,1,5.317623,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.14861458306463,14.440013950343454]}"
0000000000000000006d_0,0.26275,1.3578812,0.17315759,1.5310388,-0.01365,0.2491,0.1935,-0.0308,0.1627,0.1144,-0.004900001,0.1095,0.10155,0.0025499985,0.1041,0.1154,1.136386,-0.19690473,0.9394813,-0.0176,0.0978,0.16365,1.418111,1.0818889,2.5,0.08084999,0.2445,0.1729081,0.25566334,0.4285714,655,1,3.9934661,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.10450730261437,14.465436272884036]}"
