system:index,B11,B11_B12,B11_B12_change,B11_B12_wet,B11_change,B11_wet,B12,B12_change,B12_wet,B2,B2_change,B2_wet,B3,B3_change,B3_wet,B4,B4_B3,B4_B3_change,B4_B3_wet,B4_change,B4_wet,B8,B8_B4,B8_B4_change,B8_B4_wet,B8_change,B8_wet,NDVI,NDVI_change,NDVI_wet,elevation,slope,.geo,predicted_class,prospectivity_score,priority
0_0,0.1711,1.530693,-0.003533698,1.5271593,0.00039999187,0.1715,0.108,0.0042999983,0.1123,0.1213,-0.002399996,0.1189,0.1078,0.001500003,0.1093,0.1005,0.90703976,-0.0488513,0.85818845,-0.0067000017,0.0938,0.1837,1.8773785,0.28999892,2.1673775,0.019600004,0.2033,0.30492285,0.06363992,0.36856276,468,1.8543341,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.37256458339563,15.29386262789906]}",1,0.5635095238095239,Medium
1_0,0.3555,1.4619111,0.109425224,1.5713363,-0.11210002,0.2434,0.2364,-0.081499994,0.1549,0.1526,-0.020900011,0.1317,0.1531,-0.034900002,0.1182,0.1879,1.2387676,-0.30391142,0.9348562,-0.07740001,0.1105,0.2656,1.4199536,0.38366637,1.80362,-0.06629999,0.1993,0.17353788,0.11309867,0.28663656,347,2.9921095,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.77726934173702,21.706486283586262]}",1,0.6416761904761906,High
2_0,0.2633,1.5357409,0.14223808,1.6779789,-0.040800005,0.2225,0.1733,-0.040700004,0.1326,0.12045,0.0106500015,0.1311,0.11035,0.00025000423,0.1106,0.11765,1.0379486,-0.136502,0.9014466,-0.017950006,0.0997,0.20095,1.6765405,0.9413132,2.6178536,0.06005001,0.261,0.25276616,0.19441989,0.44718605,47,4.1703115,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.0267040504459,15.036764793584052]}",1,0.6281571428571429,High
3_0,0.2106,1.6745964,0.69410586,2.3687022,-0.055450007,0.15515,0.124,-0.0585,0.0655,0.1202,-0.012550004,0.10765,0.1049,-0.013450004,0.09145,0.102,0.9907192,-0.32696852,0.6637507,-0.0413,0.0607,0.1871,1.981132,2.518868,4.5,0.086050004,0.27315,0.32911393,0.3072497,0.6363636,628,15.281455,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.49729191336807,21.724093263155005]}",1,0.5202999999999999,Medium
4_0,0.1857,1.7526978,0.6788612,2.431559,-0.057799995,0.1279,0.1112,-0.058599997,0.0526,0.1091,-0.0073999986,0.1017,0.0969,-0.013300002,0.0836,0.0981,0.9890909,-0.3563158,0.6327751,-0.045199998,0.0529,0.1731,1.89154,2.7492917,4.6408315,0.0724,0.2455,0.30832708,0.33711526,0.64544237,610,13.872884,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.3039515928163,22.065183576535187]}",0,0.4505428571428572,Medium
5_0,0.1938,1.8112583,0.3583136,2.1695719,-0.05690001,0.1369,0.1064,-0.043299995,0.0631,0.1128,-0.013400003,0.0994,0.0989,-0.016199999,0.0827,0.0884,0.9529965,-0.24199285,0.71100366,-0.029599998,0.0588,0.1997,2.2477376,1.5481806,3.7959182,0.023499995,0.2232,0.38418669,0.19879203,0.5829787,665,5.0746927,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.44804136438907,22.031047595738645]}",0,0.47123333333333334,Medium
6_0,0.3835,1.1487134,0.04006827,1.1887816,0.010699987,0.3942,0.3353,-0.0036999881,0.3316,0.1588,0.00059999526,0.1594,0.1671,-0.0042999983,0.1628,0.2051,1.2366045,-0.03083049,1.205774,-0.0088,0.1963,0.2474,1.2172396,0.031868856,1.2491084,-0.0022000074,0.2452,0.09797751,0.012781252,0.11075877,251,2.9525983,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.78346771719745,21.309969917175906]}",1,0.6328714285714286,High
7_0,0.0209,1.6074766,0.17252341,1.78,-0.00755,0.01335,0.0129,-0.0054000006,0.0075,0.1148,-0.0014000013,0.1134,0.0904,-0.0038000047,0.0866,0.065,0.7190265,-0.03888794,0.6801386,-0.006099999,0.0589,0.0452,0.6894736,0.017657133,0.7071308,-0.0035500005,0.04165,-0.18380064,0.01224422,-0.17155641,314,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.35829509322367,21.4076167885597]}",1,0.5416714285714287,Medium
8_0,0.1709,2.0364077,0.19672118,2.2331288,-0.025299996,0.1456,0.0838,-0.018600002,0.0652,0.0988,-0.014700003,0.0841,0.0869,-0.015200004,0.0717,0.065,0.76914287,-0.1247914,0.6443515,-0.018799998,0.0462,0.2163,3.3456593,1.2777172,4.6233764,-0.002700001,0.2136,0.53977066,0.104571134,0.64434177,598,13.069984,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.31209881621068,15.320362928780584]}",0,0.3688904761904761,Low
9_0,0.2797,1.6619902,0.4540148,2.116005,-0.10915001,0.17055,0.1744,-0.0938,0.0806,0.1236,-0.009399995,0.1142,0.10785,-0.01145,0.0964,0.10635,0.954113,-0.20307563,0.75103736,-0.033949994,0.0724,0.19725001,1.8772258,1.291973,3.1691988,0.032199994,0.22945,0.30488595,0.21540557,0.5202915,337,2.722375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.62186079758435,21.621325994651734]}",1,0.6422666666666667,High
