X,Y,objectid,metallogenesis,locality,statename,toposheet,latitude,longitude,commodity,hostrock,morphogenesis,formation,latdd,londd
8519651.695,1683438.4916,1,Sandur Schist Belt,Kanivenalli,Karnataka,57 B,14 57N,76 32-76 35E,Manganese,Metasediments-Metavolcanics,Concordant,Eastern Greenstone,14.95,76.53333333
8799805.7472,2429678.0086,2,Sausar Belt,Gumgaon,Maharastra,55 O,21 19-21 29N,79 03-79 31E,Manganese,Schist,Concordant,Sausar Gp.,21.31666667,79.05
8823924.9706,2445617.8817,3,Sausar Belt,Junewani,Maharastra,55 O,21 27N,79 16E,Manganese,Calc Gneiss And Schist,Concordant,Sausar Gp.,21.45,79.26666667
8903703.9382,2455587.6995,4,Sausar Belt,Netra,Maharastra,55 O,21 32N,79 59E,Manganese,Schist,Concordant,Lohangi Fm.,21.53333333,79.98333333
8879584.716,2445617.8817,5,Sausar Belt,Panchala,Maharastra,55 O,21 27N,79 46E,Manganese,Gondite,Concordant,Sausar Gp.,21.45,79.76666667
8877729.3908,2477541.4852,6,Sausar Belt,Pawnia,Madhya Pradesh,55 O,21 43N,79 45E,Manganese,Gondite-Quartzite,Concordant,Lohangi Fm..,21.71666667,79.75
8875874.0655,2473547.8135,7,Sausar Belt,Tirodi,Madhya Pradesh,55 O,21 41N,79 44E,Manganese,"Gondite,Quartzite",Bedded-Concordant,Lohangi Fm..,21.68333333,79.73333333
8508519.7459,1706493.1881,8,Sandur Schist Belt,Ramgad,Karnataka,57 A,15 09N,76 26E,Manganese,Metasediments - Metavolcanics,Stratabound,Eastern Greenstone,15.15,76.43333333
8844333.5435,2437646.129,9,Sausar Belt,Bhandarboli,Maharastra,55 O,21 23N,79 27E,Manganese,Gondite,Concordant,Sausar Gp.,21.38333333,79.45
8927823.1616,2511525.2348,10,Sausar Belt,Dhansua-Laughar-Jagantoli,Madhya Pradesh,"64 B, 64 C",22 00N,80 12-80 15E,Manganese,"Schist,Phyllite",Concordant,Lohangi Fm.,22,80.2
8924112.5123,2489528.0582,11,Balaghat Belt,Balaghat,Chattisgarh,64 C,21 49N,80 10E,Manganese,"Phyllite,Quartzite",Bedded-Concordant,Lohangi Fm..,21.81666667,80.16666667
8540060.2691,1495933.9806,12,Chitradurga Belt,Harenaballi,Karnataka,57 C,13 19N,76 43E,Manganese,Metavolcanics-Metasediments,Volcanosedimentary-Bedded,Bababudan (Dharwar),13.31666667,76.71666667
8473268.5746,1631643.467,13,Chitradurga Belt,Hullikatte,Karnataka,57 B,14 30N,76 07E,Manganese,"Bfq,Phyllite",Volcanosedimentary-Bedded,Bababudan (Dharwar),14.5,76.11666667
